Date,Step Count,Distance (km),Calories Burned
2018-04-09,660,278.48611999999997,0.0
2018-04-10,1043,440.07375999999994,0.0
2018-04-11,330,136.216974,0.0
2018-04-12,7062,3034.5208799999996,0.0
2018-04-13,1135,482.6686,0.0
2018-04-14,7380,3143.7336050000004,0.0
2018-04-15,1447,562.7883699999999,0.0
2018-04-16,4417,1853.47664,0.0
2018-04-17,3150,1314.964608,0.0
2018-04-18,3739,1517.58108,0.0
2018-04-19,6174,2438.3409570000003,0.0
2018-04-20,5713,2379.2545739999996,0.0
2018-04-21,1365,552.8585600000001,0.0
2018-04-22,2881,1108.05396,0.0
2018-04-23,5524,2252.893679999999,0.0
2018-04-24,4272,1703.0356239999996,0.0
2018-04-25,3713,1480.5541600000001,0.0
2018-04-26,4018,1686.519987,0.0
2018-04-27,9025,3740.01118,0.0
2018-04-28,934,363.31585000000007,0.0
2018-04-29,909,355.40560999999997,0.0
2018-04-30,3890,1661.3469699999996,0.0
2018-05-01,7744,3192.4496049999993,0.0
2018-05-02,2989,1182.979474,0.0
2018-05-03,3333,1442.563602,0.0
2018-05-04,5538,2215.914852,0.0
2018-05-05,449,178.24043,0.0
2018-05-07,8609,3416.82732,0.0
2018-05-08,4994,2048.5400000000004,0.0
2018-05-09,3507,1344.0939699999997,0.0
2018-05-10,3031,1257.81007,0.0
2018-05-11,3755,1594.3440500000004,0.0
2018-05-12,1904,800.8297999999999,0.0
2018-05-13,1712,692.4994300000002,0.0
2018-05-14,4498,1768.0931900000007,0.0
2018-05-15,2905,1157.484095,0.0
2018-05-16,2600,1129.3867200000002,0.0
2018-05-17,3239,1345.5182199999997,0.0
2018-05-18,3952,1571.6581549999996,0.0
2018-05-21,21135,9337.347917000001,0.0
2018-05-22,2647,1145.98921,0.0
2018-05-23,2958,1322.9308999999998,0.0
2018-05-24,4783,1943.6363940000003,0.0
2018-05-25,3996,1692.1494400000001,0.0
2018-05-26,740,287.19789000000003,0.0
