Month,Step Count,Distance (m),Calories Burned(cal x10)
2022-01,105780,49819.777394,13330.18
2022-02,136528,63470.571845,24359.963
2022-03,120823,56274.574245,18995.73
2022-04,143147,64705.189768,18774.627
2022-05,213507,98011.3973312409,55275.78
2022-06,189570,84832.396575,31744.271
2022-07,169159,79914.42432,39205.682
2022-08,258896,118957.014639,73940.81
2022-09,423586,196327.371054,145551.21
2022-10,389949,174433.10035188,134846.87
2022-11,298008,134049.010597,103883.27
2022-12,304009,133789.4918762,92728.51
2023-01,240058,106682.736839,87346.39
2023-02,212672,96884.3892890769,104578.14
2023-03,292045,134410.5892276,132205.95
2023-04,242965,113442.15371706,111603.7
2023-05,319172,143720.228909,111349.8304
2023-06,311510,137906.544567,103601.68
2023-07,345285,157204.094519,113624.62
2023-08,274301,124095.553672,111990.58
2023-09,370044,167797.785464,113208.7
2023-10,313947,145922.040418771,114150.34
2023-11,332590,149524.0490967,117420.21
2023-12,459372,205989.685578006,124164.9
2024-01,501562,210485.683984,141159.68
2024-02,249211,111795.03051,84090.3
