Date,Step-Count,Distance (m),Calories-Burned-(calx10)
2022-01-01,4113,1801.8853,0
2022-01-02,2093,988.90941,0
2022-01-03,2108,976.33185,0
2022-01-04,1563,729.87839,0
2022-01-05,624,302.6047,0
2022-01-06,367,179.20565,0
2022-01-07,1074,478.49918,0
2022-01-08,1803,843.6326,0
2022-01-09,2283,1027.2254,0
2022-01-10,584,269.219,0
2022-01-11,2939,1326.25295,0
2022-01-12,836,375.10221,0
2022-01-13,1597,741.2529,0
2022-01-14,3444,1550.7017,0
2022-01-15,4274,1908.1491,1164.83
2022-01-16,3970,1843.53047,1806.91
2022-01-17,971,456.32709,0
2022-01-18,1384,630.58253,0
2022-01-19,1903,907.55128,0
2022-01-20,2181,995.4036,0
2022-01-21,10051,5536.768375,3891.05
2022-01-22,6358,2871.087,0
2022-01-23,3617,1656.313193,0
2022-01-24,17047,8172.55411,5899.17
2022-01-25,4822,2204.099969,568.22
2022-01-26,2957,1363.77215,0
2022-01-27,3078,1501.94234,0
2022-01-28,3397,1524.63969,0
2022-01-29,4096,1912.69128,0
2022-01-30,5866,2686.02203,0
2022-01-31,4380,2057.641947,0
2022-02-01,3962,1839.20788,0
2022-02-02,5087,2402.89716,789.241
2022-02-03,6955,3269.425527,4336.56
2022-02-04,2056,970.07929,453.15
2022-02-05,5670,2610.17902,0
2022-02-06,3608,1663.26553,0
2022-02-07,2777,1371.17933,0
2022-02-08,4747,2141.60727,0
2022-02-09,4511,2049.11236,820.292
2022-02-10,12359,5776.076795,5212.57
2022-02-11,7617,3452.502646,1897.34
2022-02-12,6032,2763.13919,0
2022-02-13,3050,1381.24229,0
2022-02-14,4452,2126.07661,0
2022-02-15,1041,487.70213,0.59
2022-02-16,9380,4422.185485,3176.57
2022-02-17,5573,2640.884785,1817.45
2022-02-18,1690,789.263936,0
2022-02-19,1678,765.61969,0
2022-02-20,3196,1539.01742,0
2022-02-21,2057,957.52437,0
2022-02-22,3029,1512.76626,0
2022-02-23,4243,2013.831451,0
2022-02-24,7029,3315.000163,3463.68
2022-02-25,5507,2516.095449,567.61
2022-02-26,8933,4046.13231,0
2022-02-27,5560,2465.94722,0
2022-02-28,4729,2182.610278,1824.91
2022-03-01,5058,2330.94532,918.56
2022-03-02,3777,1741.65575,0
2022-03-03,3002,1418.13081,0
2022-03-04,5888,2825.006615,809.76
2022-03-05,3639,1700.28331,0
2022-03-06,1283,564.09711,173.43
2022-03-07,2355,1111.188153,792.56
2022-03-08,5311,2460.092764,3010.48
2022-03-09,1051,478.85129,215.67
2022-03-10,3391,1695.2452,0
2022-03-11,1272,554.41514,0
2022-03-12,3002,1316.6889,0
2022-03-13,2140,1027.70039,0
2022-03-14,2458,1166.53722,0
2022-03-15,6355,2940.320812,1302.93
2022-03-16,3667,1690.16491,769.06
2022-03-17,7781,3641.757255,2608.43
2022-03-18,14745,7685.238537,6462.66
2022-03-19,3705,1669.811307,0
2022-03-20,4463,2031.41953,109.59
2022-03-21,3385,1537.36502,1040.6
2022-03-22,1917,884.80111,782
2022-03-23,3117,1381.3373,0
2022-03-24,3043,1358.408317,0
2022-03-25,7760,3375.64508,0
2022-03-26,6128,2677.66684,0
2022-03-27,1936,840.442255,0
2022-03-28,3342,1543.36949,0
2022-03-29,3111,1394.88866,0
2022-03-30,631,284.60025,0
2022-03-31,2110,946.4996,0
2022-04-01,2916,1331.87023,0
2022-04-02,1562,691.87255,0
2022-04-03,7628,3205.14645,0
2022-04-04,2786,1226.36328,0
2022-04-05,1104,516.79947,0
2022-04-06,3704,1665.16325,0
2022-04-07,5298,2362.860336,0
2022-04-08,4840,2150.64078,55.81
2022-04-09,5664,2608.868325,2594.45
2022-04-10,5052,2294.99395,535.52
2022-04-11,4325,1962.50587,0
2022-04-12,9516,4313.45426,0
2022-04-13,10444,4825.251125,3354.86
2022-04-14,7404,3436.68403,2140.5
2022-04-15,5263,2370.23581,0
2022-04-16,3987,1853.45183,1545.76
2022-04-17,3605,1680.41182,807.817
2022-04-18,5975,2720.63478,2405.76
2022-04-19,1999,919.53149,416.92
2022-04-20,3022,1385.65178,0
2022-04-21,5688,2543.69281,0
2022-04-22,4220,1887.79191,0
2022-04-23,9047,4103.34091,3725.61
2022-04-24,6324,2869.48214,1191.62
2022-04-25,1689,769.88514,0
2022-04-26,2555,1143.95694,0
2022-04-27,2535,1133.74134,0
2022-04-28,6325,2889.955662,0
2022-04-29,6091,2693.44699,0
2022-04-30,2579,1147.50451,0
2022-05-01,4657,2074.25098,0
2022-05-02,3160,1401.81898,0
2022-05-03,6539,3055.29676,0
2022-05-04,3463,1630.9306,0
2022-05-05,6002,2886.02013,0
2022-05-06,3134,1346.25324,0
2022-05-07,6105,2797.108957,3520.6
2022-05-08,2879,1289.164058,310.89
2022-05-09,3236,1499.05802,0
2022-05-10,7246,3389.525155,3838.06
2022-05-11,3957,1801.301922,417.4
2022-05-12,9994,4566.491337,4014.89
2022-05-13,6781,2920.75002,0
2022-05-14,10640,4859.91316,0
2022-05-15,9072,3961.66311,0
2022-05-16,9221,4231.78665,4170.45
2022-05-17,5184,2463.011585,366.96
2022-05-18,16115,7483.046425,5908.18
2022-05-19,11177,5116.716792,5713.53
2022-05-20,10248,4721.629373,1964.83
2022-05-21,3971,1712.08044,0
2022-05-22,5268,2512.077521,1556.56
2022-05-23,5941,2780.3893922409,2562.02
2022-05-24,7050,3254.888682,3147.76
2022-05-25,10032,4616.571755,4524.07
2022-05-26,9079,4303.889907,4546.35
2022-05-27,10982,5007.444475,4249.18
2022-05-28,3159,1456.26722,1836.1
2022-05-29,10361,4717.68792,0
2022-05-30,724,333.43506,0
2022-05-31,8130,3820.927705,2627.95
2022-06-01,5860,2637.888113,1412.76
2022-06-02,7923,3669.943324,4176.01
2022-06-03,7859,3532.55366,308.341
2022-06-04,471,212.37073,0
2022-06-05,11234,4192.97378,3160.38
2022-06-06,8419,3800.61422,2805.34
2022-06-07,2552,1107.81268,0
2022-06-08,1383,613.681877,0
2022-06-09,5097,2295.56269,475.87
2022-06-10,17321,8223.417176,0
2022-06-11,16911,7419.681666,0
2022-06-12,7381,3331.75147,0
2022-06-13,3492,1585.87119,0
2022-06-14,3116,1341.07586,0
2022-06-15,7001,3162.36874,1492.19
2022-06-16,3072,1348.53862,0
2022-06-17,2779,1211.64427,0
2022-06-18,516,238.25823,0
2022-06-19,2301,1034.12343,0
2022-06-20,4976,2207.262675,1364.57
2022-06-21,5918,2704.922967,2843.35
2022-06-22,4756,2187.394892,1842.05
2022-06-23,8252,3759.555995,2822.4
2022-06-24,6240,2853.42081,1794.38
2022-06-25,1804,801.4234,0
2022-06-26,14758,6572.02493,0
2022-06-27,9301,4325.37425,3455.02
2022-06-28,6146,2731.04508,0
2022-06-29,8212,3696.03029,3736.57
2022-06-30,4519,2033.80956,55.04
2022-07-01,5442,2376.29061,0
2022-07-02,6143,2747.3155,0
2022-07-03,4513,2022.71011,0
2022-07-04,2658,1187.43972,0
2022-07-05,7200,3317.976325,3628.86
2022-07-06,5479,2470.94772,2019.74
2022-07-07,9032,3875.82773,0
2022-07-08,7391,3353.679752,2228.48
2022-07-09,484,225.697814,0
2022-07-10,5159,2351.860012,2441.72
2022-07-11,5169,2346.52785,542.562
2022-07-12,6050,2785.067142,3347.92
2022-07-13,7747,3582.507345,3207.13
2022-07-14,10315,4837.97037,3935.83
2022-07-15,2144,942.40022,0
2022-07-16,2597,1139.85946,0
2022-07-17,4984,5614.82543,0
2022-07-18,8589,3809.80746,3888.07
2022-07-19,4241,1898.689418,1290.49
2022-07-20,2870,1284.13388,0
2022-07-21,6338,2945.514005,1830.6
2022-07-22,7397,3344.6331,0
2022-07-23,7783,3436.84805,0
2022-07-24,4160,1784.56162,0
2022-07-25,3909,1742.07804,0
2022-07-26,12297,5944.924884,5381.32
2022-07-27,6302,2958.337595,4217.75
2022-07-28,3294,1445.021,1055.4
2022-07-29,2953,1342.257688,0
2022-07-30,2011,889.28056,0
2022-07-31,4508,1909.43391,189.81
2022-08-01,3915,1776.02297,790.42
2022-08-02,3946,1813.52368,872.13
2022-08-03,6835,3386.11971,3558.41
2022-08-04,7713,3591.998953,3353.27
2022-08-05,7022,3199.110293,1621.51
2022-08-06,5116,2361.093997,0
2022-08-07,4054,1828.98624,0
2022-08-08,3584,1689.62191,0
2022-08-09,6164,2977.29335,2185.92
2022-08-10,5298,2440.37127,3135.43
2022-08-11,7034,3256.695617,3736.97
2022-08-12,7438,3418.390092,3116.06
2022-08-13,8234,3607.75406,306.9
2022-08-14,2700,1195.245946,0
2022-08-15,8311,3831.386154,3632.26
2022-08-16,9124,4063.320643,3423.78
2022-08-17,7530,3502.17791,3507.44
2022-08-18,10026,4697.882104,4185.5
2022-08-19,7206,3251.339885,2489.11
2022-08-20,11934,5365.31447,1513.39
2022-08-21,7172,3288.587742,4550.32
2022-08-22,8875,4020.417,86.13
2022-08-23,6879,3140.28594,0
2022-08-24,11617,5211.448056,0
2022-08-25,9392,4198.16398,0
2022-08-26,23176,10720.910789,6003.7
2022-08-27,11147,5063.687265,3337.25
2022-08-28,7227,3201.66982,1899.15
2022-08-29,14340,6682.550903,5857.56
2022-08-30,14995,7184.178395,5768.17
2022-08-31,10892,4991.465495,5010.03
2022-09-01,10791,4971.85324,5128.41
2022-09-02,14863,6881.534944,4796.07
2022-09-03,21984,10360.02342,0
2022-09-04,12684,5608.52422,0
2022-09-05,3404,1564.30388,0
2022-09-06,15512,7151.763241,6302.41
2022-09-07,13123,6353.783557,5624.99
2022-09-08,12007,5564.383335,4859.21
2022-09-09,9514,4460.465817,2018.02
2022-09-10,36714,16810.734364,7399.51
2022-09-11,5361,2418.31566,1989.14
2022-09-12,7700,3595.939817,3226.16
2022-09-13,9782,4836.850692,3550.68
2022-09-14,11808,5431.38183,4836.52
2022-09-15,9998,4582.71776,5337.27
2022-09-16,20506,9481.329392,7185.28
2022-09-17,26972,13490.907685,9085.47
2022-09-18,14223,6531.125406,4012.49
2022-09-19,13322,6429.682642,7487.83
2022-09-20,19517,8987.350875,6591.59
2022-09-21,13887,6505.023095,6417.73
2022-09-22,17281,7820.236724,6597.75
2022-09-23,14221,6863.905072,7058.15
2022-09-24,11016,4903.247525,3215.91
2022-09-25,14199,6225.51305,5565.31
2022-09-26,10502,4691.519248,4893.57
2022-09-27,8105,3603.945584,2268.94
2022-09-28,12746,5719.872155,6276.51
2022-09-29,14805,6588.04224,6654.38
2022-09-30,17039,7893.094584,7171.91
2022-10-01,35273,16015.522229,10504.8
2022-10-02,9136,3905.15741,3406.75
2022-10-03,10292,4729.23866,5258.81
2022-10-04,11982,5444.060941,4807.09
2022-10-05,10519,4792.70973,3685.69
2022-10-06,12286,5387.192218,4296.18
2022-10-07,22724,10266.305275,3847.38
2022-10-08,12679,5601.017848,3031.09
2022-10-09,10101,4546.021055,4399.78
2022-10-10,4847,2025.4038,0
2022-10-11,9610,4316.348005,4222.89
2022-10-12,9969,4658.457743,5176.12
2022-10-13,10053,4565.173195,4314.75
2022-10-14,13851,6305.547607,4269.73
2022-10-15,14460,5685.24095,4340
2022-10-16,10941,4915.642711,5178.32
